Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9984409799554566,0.9988317757009346,0.9978991596638656,0.9983652498832322
Logistic Regression,0.9896436525612472,0.9863077280111395,0.9920634920634921,0.9891772372861631
Naive Bayes,0.9476614699331849,0.9428704133766836,0.9477124183006536,0.9452852153667055
KNN,0.7244988864142539,0.9380445304937076,0.4523809523809524,0.6103937007874016
